# LET [MeV/cm], E [MeV], beta 
23.5802,22.5407,0.21609
23.559,22.5656,0.216206
23.5379,22.5905,0.216321
23.5167,22.6154,0.216436
23.4957,22.6403,0.216551
23.4746,22.6652,0.216665
23.4536,22.6901,0.21678
23.4327,22.715,0.216895
23.4118,22.7399,0.217009
23.3909,22.7648,0.217124
23.3701,22.7897,0.217239
23.3493,22.8146,0.217353
23.3285,22.8395,0.217467
23.3078,22.8644,0.217582
23.2872,22.8893,0.217696
23.2665,22.9142,0.21781
23.2459,22.9391,0.217924
23.2254,22.964,0.218038
23.2049,22.9889,0.218152
23.1844,23.0138,0.218266
23.164,23.0387,0.21838
23.1436,23.0636,0.218493
23.1233,23.0885,0.218607
23.103,23.1134,0.218721
23.0827,23.1383,0.218834
23.0625,23.1632,0.218948
23.0423,23.1881,0.219061
23.0222,23.213,0.219174
23.0021,23.2379,0.219288
22.982,23.2628,0.219401
22.962,23.2877,0.219514
22.942,23.3126,0.219627
22.9221,23.3375,0.21974
22.9022,23.3624,0.219853
22.8823,23.3873,0.219966
22.8625,23.4122,0.220079
22.8427,23.4371,0.220191
22.8229,23.462,0.220304
22.8032,23.4869,0.220417
22.7835,23.5119,0.220529
22.7639,23.5368,0.220641
22.7443,23.5617,0.220754
22.7247,23.5866,0.220866
22.7052,23.6115,0.220978
22.6857,23.6364,0.221091
22.6663,23.6613,0.221203
22.6469,23.6862,0.221315
22.6275,23.7111,0.221427
22.6082,23.736,0.221539
22.5889,23.7609,0.221651
22.5696,23.7858,0.221762
22.5504,23.8107,0.221874
22.5312,23.8356,0.221986
22.512,23.8605,0.222097
22.4929,23.8854,0.222209
22.4738,23.9103,0.22232
22.4548,23.9352,0.222432
22.4358,23.9601,0.222543
22.4168,23.985,0.222655
22.3979,24.0099,0.222766
22.379,24.0348,0.222877
22.3601,24.0597,0.222988
22.3413,24.0846,0.223099
22.3225,24.1095,0.22321
22.3037,24.1344,0.223321
22.285,24.1593,0.223432
